,gtq8_7,gtq15_6,gtq24_6,gtq25_6,pc.gt2,lpc.gt2,avg.gt2,gtq8.6,gtq15.5,gtq24.5,gtq25.5,pc2.dig,lpc2.dig,Trade,Coop_Clust,Coop_RD,PROD_INN,PROC_INN,Year,Type,Region
39,0,0,1,1,0.427041106,0.474076651,0.5,1,0,0,1,0.486984641,0.375079247,0,0,0,0,0,2023,Middle,ma?opolskie
40,0,0,1,0,0.221185074,0.344107172,0.25,0,0,0,0,0,0,0,1,0,0,0,2021,Micro,pomorskie
41,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,1,1,0,0,2023,Small,ma?opolskie
42,0,0,0,0,0,0,0,0,1,1,1,0.744912366,0.750782825,0,1,0,1,1,2019,Small,?l?skie
43,0,1,1,1,0.715617818,0.750823998,0.75,1,0,1,1,0.7301065,0.693465178,0,1,1,1,1,,Micro,dolno?l?skie
44,0,0,1,0,0.221185074,0.344107172,0.25,0,0,1,0,0.243121859,0.318385931,0,1,0,0,0,2022,Small,podkarpackie
45,1,1,1,1,1,1,1,1,0,1,1,0.7301065,0.693465178,0,1,1,0,1,,Micro,ma?opolskie
46,1,0,1,1,0.711423288,0.723252654,0.75,1,0,1,1,0.7301065,0.693465178,0,1,0,0,0,2016,Small,?l?skie
47,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,1,1,1,1,1,2003,Large,podkarpackie
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,Other,dolno?l?skie
49,0,0,0,0,0,0,0,0,0,0,1,0.231897007,0.125862072,1,1,0,1,0,2010,Middle,pomorskie
50,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,1,2015,Small,podlaskie
51,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,1,2023,Large,lubuskie
52,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2019,Micro,kujawsko-pomorskie
53,0,0,1,0,0.221185074,0.344107172,0.25,1,1,1,1,1,1,0,1,1,1,0,2020,Micro,?l?skie
54,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,1,0,0,2011,Micro,pomorskie
55,0,0,0,0,0,0,0,1,0,1,1,0.7301065,0.693465178,0,1,0,0,0,2021,Micro,kujawsko-pomorskie
56,0,0,1,0,0.221185074,0.344107172,0.25,0,0,1,0,0.243121859,0.318385931,0,1,0,0,0,2023,Micro,lubelskie
57,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,1,0,2020,Micro,kujawsko-pomorskie
58,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,2006,Micro,kujawsko-pomorskie
59,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,1,0,0,2020,Middle,kujawsko-pomorskie
60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2015,Middle,?ódzkie
61,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,1,1,0,0,0,2021,Micro,lubuskie
62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2023,Small,ma?opolskie
63,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2018,Large,?ódzkie
64,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2021,Middle,?l?skie
65,1,1,1,0,0.794143968,0.87003052,0.75,0,0,1,0,0.243121859,0.318385931,0,1,1,0,0,2019,Small,podkarpackie
66,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,1,1,0,0,1,2015,Middle,lubelskie
67,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,1,1,1,,Micro,kujawsko-pomorskie
68,0,0,0,0,0,0,0,1,0,0,0,0.255087634,0.249217175,0,0,0,0,0,2018,Small,zachodniopomorskie
69,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,0,0,0,0,2024,Middle,ma?opolskie
70,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,0,0.243121859,0.318385931,1,1,1,0,0,2020,Small,ma?opolskie
71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2022,Micro,podlaskie
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2017,Micro,mazowieckie
73,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,2024,Small,mazowieckie
74,0,1,0,0,0.288576712,0.276747346,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,2023,Small,ma?opolskie
75,1,1,1,1,1,1,1,1,0,1,1,0.7301065,0.693465178,0,0,0,0,1,,Middle,ma?opolskie
76,0,0,0,0,0,0,0,0,1,0,0,0.2698935,0.306534822,0,1,0,0,0,2021,Micro,lubuskie
77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2020,Small,zachodniopomorskie
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,LocGov,dolno?l?skie
79,0,0,1,0,0.221185074,0.344107172,0.25,0,0,1,1,0.475018866,0.444248003,0,0,0,0,0,2018,Small,wielkopolskie
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025,Micro,ma?opolskie
81,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,2016,Large,wielkopolskie
82,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,0,0,0,0,1,0,0,0,2014,Micro,zachodniopomorskie
83,1,0,0,0,0.284382182,0.249176002,0.25,1,0,0,0,0.255087634,0.249217175,0,1,0,0,0,2022,Other,dolno?l?skie
84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2006,Micro,?l?skie
85,1,0,0,1,0.490238214,0.379145482,0.5,1,0,1,1,0.7301065,0.693465178,0,1,1,0,1,2017,LocGov,mazowieckie
86,0,0,1,1,0.427041106,0.474076651,0.5,1,1,1,1,1,1,1,1,1,0,0,2007,Micro,?l?skie
87,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,1,0,0,1,0,2017,Small,ma?opolskie
88,0,0,0,0,0,0,0,0,0,0,1,0.231897007,0.125862072,0,0,0,0,0,2009,Small,pomorskie
89,0,1,0,1,0.494432744,0.406716826,0.5,1,1,1,1,1,1,1,1,0,0,0,2012,Middle,?l?skie
90,0,1,1,1,0.715617818,0.750823998,0.75,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,2021,Sci,?l?skie
91,1,1,1,1,1,1,1,0,0,0,1,0.231897007,0.125862072,0,1,1,0,1,2011,Sci,podkarpackie
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,,Small,?l?skie
93,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,2015,Micro,dolno?l?skie
94,0,0,1,0,0.221185074,0.344107172,0.25,0,0,1,0,0.243121859,0.318385931,0,0,0,0,0,2024,Micro,ma?opolskie
95,0,1,1,1,0.715617818,0.750823998,0.75,0,0,1,1,0.475018866,0.444248003,1,1,1,0,0,2017,Middle,wielkopolskie
96,0,0,0,0,0,0,0,0,0,0,1,0.231897007,0.125862072,0,0,0,0,0,2019,Micro,?wi?tokrzyskie
97,0,0,0,0,0,0,0,0,0,0,1,0.231897007,0.125862072,1,1,0,0,0,2023,Small,podlaskie
98,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,,Small,wielkopolskie
99,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,,BusEnv,wielkopolskie
100,1,0,1,0,0.505567256,0.593283174,0.5,1,0,1,0,0.498209493,0.567603106,0,1,0,0,1,2023,Micro,podlaskie
101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2018,Small,zachodniopomorskie
102,0,0,1,0,0.221185074,0.344107172,0.25,0,0,1,0,0.243121859,0.318385931,0,1,0,1,0,2005,Middle,podkarpackie
103,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2022,Middle,podlaskie
104,1,0,1,1,0.711423288,0.723252654,0.75,0,0,0,1,0.231897007,0.125862072,0,0,0,0,0,,Micro,ma?opolskie
105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,Middle,zachodniopomorskie
106,0,0,0,0,0,0,0,0,0,1,0,0.243121859,0.318385931,1,0,0,0,0,2023,Micro,podkarpackie
107,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,1,1,1,0,0,,Sci,mazowieckie
108,1,1,1,1,1,1,1,0,0,0,1,0.231897007,0.125862072,0,1,1,0,1,2008,Other,mazowieckie
109,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,,Sci,mazowieckie
110,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,2012,Micro,?l?skie
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,Middle,podkarpackie
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,Micro,?l?skie
113,0,0,1,1,0.427041106,0.474076651,0.5,1,0,1,1,0.7301065,0.693465178,0,1,1,1,0,2020,Micro,podkarpackie
114,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,1,2021,Micro,podlaskie
115,0,0,1,1,0.427041106,0.474076651,0.5,1,1,1,1,1,1,0,1,1,0,0,2023,Micro,mazowieckie
116,0,0,1,1,0.427041106,0.474076651,0.5,1,1,1,1,1,1,1,1,1,0,1,2010,Micro,lubuskie
117,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,0,0,0,0,2022,Sci,mazowieckie
118,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2021,Large,?l?skie
119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2009,Large,zachodniopomorskie
120,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,1,2013,Sci,dolno?l?skie
121,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,1,0,2014,Small,lubelskie
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2013,Small,podkarpackie
123,0,0,1,0,0.221185074,0.344107172,0.25,0,0,1,0,0.243121859,0.318385931,0,0,0,0,0,2016,Large,lubuskie
124,0,0,0,0,0,0,0,0,0,1,0,0.243121859,0.318385931,0,1,0,0,0,2014,Small,mazowieckie
125,1,0,0,0,0.284382182,0.249176002,0.25,1,1,1,1,1,1,1,1,1,1,1,2021,Small,lubelskie
126,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2020,Small,mazowieckie
127,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,1,0,0,2019,Middle,?ódzkie
128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2014,Middle,?ódzkie
129,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2018,Small,podlaskie
130,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,1,0,0,2015,Sci,kujawsko-pomorskie
131,0,0,1,0,0.221185074,0.344107172,0.25,0,0,1,0,0.243121859,0.318385931,0,0,0,0,1,2025,Small,pomorskie
132,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,1,1,0,1,2008,Micro,lubelskie
133,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,1,1,0,0,0,2022,Middle,mazowieckie
134,0,0,0,0,0,0,0,1,0,1,0,0.498209493,0.567603106,0,1,1,0,0,2004,Large,ma?opolskie
135,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,1,1,0,2018,Micro,mazowieckie
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,Sci,lubuskie
137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2022,Micro,?l?skie
138,0,0,1,0,0.221185074,0.344107172,0.25,0,1,1,1,0.744912366,0.750782825,0,0,0,0,1,2023,Micro,mazowieckie
139,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,1,1,0,1,0,2023,Middle,zachodniopomorskie
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,Micro,wielkopolskie
141,1,0,1,1,0.711423288,0.723252654,0.75,1,1,1,1,1,1,0,1,1,0,1,2016,Middle,?ódzkie
142,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,1,0,2016,Middle,podkarpackie
143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003,Large,wielkopolskie
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022,Micro,podlaskie
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,Sci,wielkopolskie
146,0,0,1,1,0.427041106,0.474076651,0.5,1,0,1,1,0.7301065,0.693465178,0,1,0,0,0,2012,Micro,lubuskie
147,0,0,1,1,0.427041106,0.474076651,0.5,0,1,1,1,0.744912366,0.750782825,0,1,1,0,0,2023,Micro,mazowieckie
148,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,0,0,0,0,2024,Small,podlaskie
149,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,2025,Micro,zachodniopomorskie
150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,,Middle,mazowieckie
151,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,1,1,0,0,0,2024,Micro,kujawsko-pomorskie
152,0,1,0,1,0.494432744,0.406716826,0.5,0,1,0,1,0.501790507,0.432396894,0,1,1,1,0,,Small,pomorskie
153,0,0,0,0,0,0,0,0,0,0,1,0.231897007,0.125862072,1,1,1,0,0,2022,Micro,pomorskie
154,1,1,1,1,1,1,1,1,0,0,1,0.486984641,0.375079247,0,1,1,0,1,2003,Large,podkarpackie
155,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2019,Large,ma?opolskie
156,0,0,1,0,0.221185074,0.344107172,0.25,1,1,1,1,1,1,1,1,1,1,0,2020,Micro,mazowieckie
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,Small,lubelskie
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,Small,mazowieckie
159,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,,LocGov,pomorskie
160,0,0,1,0,0.221185074,0.344107172,0.25,1,1,1,1,1,1,0,1,1,1,1,2017,Small,pomorskie
161,0,1,1,1,0.715617818,0.750823998,0.75,0,1,1,1,0.744912366,0.750782825,0,1,0,0,1,2015,Large,ma?opolskie
162,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,2006,Small,?l?skie
163,1,0,1,1,0.711423288,0.723252654,0.75,1,0,1,1,0.7301065,0.693465178,1,1,0,0,1,2023,Micro,zachodniopomorskie
164,0,0,1,0,0.221185074,0.344107172,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,2020,Middle,zachodniopomorskie
165,0,0,0,0,0,0,0,0,0,0,1,0.231897007,0.125862072,0,0,0,1,0,2024,Small,pomorskie
166,0,0,1,0,0.221185074,0.344107172,0.25,1,0,1,1,0.7301065,0.693465178,0,1,1,0,1,2023,Micro,mazowieckie
167,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2022,Large,?ódzkie
168,0,0,1,1,0.427041106,0.474076651,0.5,0,1,1,1,0.744912366,0.750782825,0,1,0,0,0,2021,Micro,zachodniopomorskie
169,0,0,1,1,0.427041106,0.474076651,0.5,1,0,1,1,0.7301065,0.693465178,0,1,0,0,0,2021,Small,mazowieckie
170,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,0,0,0,0,2024,Micro,warmi?sko-mazurskie
171,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,1,0,0,1,2022,BusEnv,mazowieckie
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023,Middle,podlaskie
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,Micro,podlaskie
174,0,1,0,0,0.288576712,0.276747346,0.25,1,1,1,1,1,1,0,1,1,1,1,2025,Large,?l?skie
175,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2020,Micro,mazowieckie
176,0,1,1,1,0.715617818,0.750823998,0.75,0,0,1,1,0.475018866,0.444248003,0,1,0,1,0,2019,Large,podlaskie
177,0,0,1,1,0.427041106,0.474076651,0.5,1,1,1,1,1,1,0,0,0,1,0,2024,Micro,lubelskie
178,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2011,Large,mazowieckie
179,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2017,Micro,ma?opolskie
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,Small,podkarpackie
181,0,0,1,0,0.221185074,0.344107172,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,2019,Large,wielkopolskie
182,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,1,1,0,0,1,2021,Micro,wielkopolskie
183,1,0,0,1,0.490238214,0.379145482,0.5,1,1,1,0,0.768102993,0.874137928,0,1,0,0,0,2017,Small,?l?skie
184,1,0,1,1,0.711423288,0.723252654,0.75,1,1,1,1,1,1,1,1,0,1,1,2023,Micro,?l?skie
185,0,0,1,1,0.427041106,0.474076651,0.5,1,1,1,1,1,1,1,1,1,1,1,2023,Small,mazowieckie
186,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2022,Other,dolno?l?skie
187,0,0,1,0,0.221185074,0.344107172,0.25,1,1,1,1,1,1,1,1,1,0,1,2022,Small,podkarpackie
188,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,0,0,0,0,2018,Large,podkarpackie
189,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2018,Small,?l?skie
190,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2015,Large,mazowieckie
191,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,0,0,0,0,0,0,1,0,2024,Middle,ma?opolskie
192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2024,Small,mazowieckie
193,0,0,0,0,0,0,0,0,0,0,1,0.231897007,0.125862072,1,0,0,0,0,2020,Micro,ma?opolskie
194,0,0,1,1,0.427041106,0.474076651,0.5,1,1,1,1,1,1,0,1,0,0,1,2008,Large,lubuskie
195,0,0,1,0,0.221185074,0.344107172,0.25,0,1,1,1,0.744912366,0.750782825,1,1,0,1,0,2023,Micro,wielkopolskie
196,1,1,1,1,1,1,1,1,0,1,1,0.7301065,0.693465178,1,1,1,0,1,2023,Small,mazowieckie
197,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,2020,Small,wielkopolskie
198,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2023,Large,?wi?tokrzyskie
199,0,0,0,1,0.205856032,0.12996948,0.25,0,0,0,1,0.231897007,0.125862072,0,1,0,0,0,2012,Small,wielkopolskie
200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2014,LocGov,dolno?l?skie
201,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,2021,Micro,mazowieckie
202,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2015,Middle,podkarpackie
203,1,0,1,1,0.711423288,0.723252654,0.75,1,0,1,1,0.7301065,0.693465178,0,1,0,0,0,2017,Large,?ódzkie
204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2016,Large,mazowieckie
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,Small,mazowieckie
206,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2024,Small,?ódzkie
207,0,1,1,1,0.715617818,0.750823998,0.75,0,1,1,1,0.744912366,0.750782825,1,1,1,0,1,2022,Small,mazowieckie
208,0,0,1,1,0.427041106,0.474076651,0.5,1,1,1,1,1,1,1,1,1,1,1,2022,Micro,?l?skie
209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003,Large,podkarpackie
210,0,0,0,1,0.205856032,0.12996948,0.25,0,0,1,1,0.475018866,0.444248003,0,0,0,0,0,,Small,ma?opolskie
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,Small,ma?opolskie
212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,Small,kujawsko-pomorskie
213,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,0,0,2022,Micro,pomorskie
214,0,0,1,1,0.427041106,0.474076651,0.5,0,0,1,1,0.475018866,0.444248003,0,1,0,1,0,2015,Micro,podlaskie
215,0,0,1,0,0.221185074,0.344107172,0.25,0,0,1,1,0.475018866,0.444248003,1,1,0,0,1,2024,Small,podlaskie
